gene_id,MM.6
g23876,-0.855771278724723
g36290,-0.745690178200907
g61122,-0.801970005338293
g50752,-0.736105975472508
g34599,-0.812048034256964
g25409,-0.775970648890984
g39156,-0.837486814800204
g48109,-0.691821796853322
g6370,-0.808298601164503
g55623,-0.825452772965583
g53887,-0.782614191548333
g24269,-0.743157734949464
g38364,-0.716188906934723
g48819,-0.767048954691221
g58926,-0.818017022247209
g35046,-0.877983608712197
g25687,-0.703453261435562
g49267,-0.726937093194116
g53132,-0.756688602922549
g67242,-0.747307253673346
g12998,-0.71435454146964
g49134,-0.752597810267896
g10421,-0.698591366868939
g12285,-0.71303659397609
g32752,-0.681538077094956
g41403,-0.675362777381877
adi2mcaRNA35119_R0,-0.80530758155228
g60687,-0.683098666821704
g23861,-0.836350428708529
g64247,-0.71176750934082
g44633,-0.723559705289082
g27843,-0.71630376468811
g46373,-0.665128639595321
g7583,-0.696786467885479
g50380,-0.728116169719223
g62607,-0.754198687035823
g46369,-0.663695690760362
g44802,-0.68316067267514
g47990,-0.911538366852886
g68176,-0.763551326479687
adi2mcaRNA30198_R0,-0.665712947569721
g53997,-0.785828733249754
g36451,-0.691315632471427
adi2mcaRNA9037_R0,-0.689259574806369
g67111,-0.685050346844251
g26427,-0.695534415134585
g67827,-0.707689326837094
g57151,-0.663867402198497
g55195,-0.680250297218316
g56478,-0.736339235233388
adi2mcaRNA3152_R1,-0.653049762205439
g34656,-0.667216405889314
g62002,-0.653652424547586
g12570,-0.669337924277335
g62770,-0.723232770567921
g4664,-0.693923445119627
g46547,-0.721195419020712
g41830,-0.685589920946212
g69045,-0.807994623575683
g62715,-0.674147921764627
g27208,-0.657958105066348
g57675,-0.683608877178817
g42218,-0.629841041886353
g17679,-0.81241485696239
g56768,-0.623140518904796
g49490,-0.713496123379171
g21633,-0.688652678013985
g58599,-0.770145578153478
g48529,-0.715042283289404
g14606,-0.717556928508
g53999,-0.632300662645135
adi2mcaRNA27032_R1,-0.662236565822231
adi2mcaRNA9843_R0,-0.643131864503592
g43322,-0.660120466064665
g61952,-0.652162213538178
g43098,-0.676673544068294
g37074,-0.725841775974426
g15364,-0.651939307773501
g15170,-0.771743876210956
g35177,-0.694502696696543
g29880,-0.642892548652168
g88,-0.661113330848815
adi2mcaRNA23574_R0,-0.714477919745963
g58549,-0.673223459164153
g10624,-0.744637793847616
adi2mcaRNA8511_R1,-0.80648837261575
g70558,-0.657358703508001
g19712,-0.679331138171921
g8981,-0.649695625534921
g36975,-0.662870068906829
g27910,-0.697359999733786
g36179,-0.713303034594395
g35102,-0.768135008611111
g55196,-0.798375571281885
g68716,-0.664484204821346
g19246,-0.700869151149454
g41442,-0.770653549006462
g27887,-0.821937807542739
g9360,-0.627603015343317
g71132,-0.637168136259391
g6446,-0.680001524951136
g14701,-0.638182889727026
g63466,-0.772594868509155
g56275,-0.656950736172904
adi2mcaRNA8957_R0,-0.633737424220551
g14605,-0.653812799647764
g65962,-0.746857520396693
g53780,-0.606092990261728
g22494,-0.681015937300554
g58925,-0.667888584034796
g62771,-0.704661858141878
g65827,-0.714539891276737
g18729,-0.690838337921992
g34405,-0.633003339337393
g38208,-0.708187178685953
adi2mcaRNA5211_R0,-0.84681075736775
g11631,-0.715867529733782
g48644,-0.655530065314293
g55624,-0.677184961956419
g45308,-0.729216289368941
g68777,-0.713177165788271
g5415,-0.646208045606558
g28147,-0.645914558257596
g29205,-0.589347208902978
g22808,-0.680098794245211
g17816,-0.582723531888656
g64090,-0.735425906210786
g52048,-0.611027758006665
g38026,-0.612271904056071
g71511,-0.75139516437543
g13102,-0.636777207833999
g69630,-0.62173936707619
g29934,-0.770103964203061
adi2mcaRNA16924_R2,-0.707323345660389
g62719,-0.65848130203859
g71123,-0.672707504990503
g16338,-0.595468198066353
g68166,-0.658529529228027
g24976,-0.692078282405143
g32928,-0.608785401160234
g62791,-0.602222669679314
g60738,-0.585353549491784
adi2mcaRNA2517_R0,-0.578382410845576
g3409,-0.760150895324853
g66745,-0.628983616888235
g70486,-0.59747914444775
g37399,-0.697697323859094
g39409,-0.623301991846437
g38253,-0.608270678306364
g32785,-0.883510467641718
g63810,-0.651083615668611
g21698,-0.609911952088173
g69050,-0.660727578813982
g71356,-0.640379849421428
adi2mcaRNA15683_R0,-0.723957831225885
g28905,-0.638349087956804
g63050,-0.60342808857644
g67731,-0.591343133345907
g54778,-0.570033560962155
g5463,-0.584146909183319
g37742,-0.608045926921519
g55965,-0.626306659582943
g33677,-0.588522092271925
g68178,-0.614395819443375
g34995,-0.591239078636194
g27542,-0.593116337040774
g41463,-0.586044607351932
g23832,-0.638273077268296
g43833,-0.708497308052236
g62835,-0.832353325648096
g47418,-0.679983355306738
g6182,-0.627711875487876
g54698,-0.610100346671596
adi2mcaRNA24733_R0,-0.601844746351517
g63375,-0.63650681070515
g60214,-0.575858024942361
g22428,-0.626890230980808
g49847,-0.617657625863982
g45511,-0.608441847639309
g36767,-0.629217607343383
g56978,-0.661916904357373
g57645,-0.645232669251497
g4181,-0.603954194421732
g11236,-0.577631885557962
g68355,-0.694087066585994
g64765,-0.591814449502376
g67660,-0.573677111345133
adi2mcaRNA27477_R0,-0.681292156639525
g24271,-0.576644683554763
g71424,-0.626182048113141
g55163,-0.786138971697738
g49269,-0.628029956058095
g36228,-0.677264143923007
g54341,-0.642539994646235
g38203,-0.601233548785421
g10419,-0.601783810972204
g22623,-0.668122398304841
g44531,-0.612413814814148
g29875,-0.589762254360707
g27861,-0.567274162343908
g41221,-0.587919181498119
g28318,-0.622043591779772
g57634,-0.693696727728055
g57099,-0.56122160568769
g8603,-0.610093647673109
g474,-0.633720585354341
g10420,-0.651566368234418
g60073,-0.591197397248084
g39879,-0.675668598178105
g47453,-0.591987689950079
g28571,-0.617807513377632
adi2mcaRNA155_R0,-0.713223774884437
g40461,-0.607818597123586
g31001,-0.605211857224911
g43321,-0.703532990720144
g31881,-0.585504227449544
g39439,-0.605481708146623
g71047,-0.572169714477162
g13257,-0.630371530482072
g53865,-0.621364008854389
g71448,-0.729507605255447
g34648,-0.59570549939139
g24111,-0.604210212326717
g68200,-0.598699545263108
g46686,-0.602078381202102
g18687,-0.625513440500663
adi2mcaRNA12403_R0,-0.588962379208562
g62597,-0.611336399885871
g42831,-0.619690579587527
g12287,-0.601632140765627
adi2mcaRNA6487_R1,-0.586765334149981
g13222,-0.596517113711486
g31456,-0.805255604199724
g42338,-0.574647435394616
adi2mcaRNA14912_R0,-0.596524682715537
g54280,-0.653916764690893
g35004,-0.737946942812677
g67772,-0.864132475171233
adi2mcaRNA12557_R0,-0.623131089689208
adi2mcaRNA35168_R1,-0.578775257727016
g70612,-0.594037847916564
g31824,-0.583554930734018
g2920,-0.608954413454777
g56262,-0.717704306272071
g7167,-0.57537546473044
g53133,-0.578033374731736
g15155,-0.628448903472367
g12314,-0.56759130180159
g33278,-0.592173133187329
g8899,-0.57585642863949
adi2mcaRNA5195_R2,-0.704877532476198
g3320,-0.599649174966769
g53229,-0.613509287716585
g56112,-0.796773300719314
g26515,-0.563510021790387
adi2mcaRNA3630_R0,-0.629712592504772
g70335,-0.631526599297412
g49928,-0.767274399362417
g33679,-0.550068365182675
g60497,-0.544527148909665
g2144,-0.584347319367928
g31842,-0.53893264037246
g31738,-0.682717276500832
g57454,-0.602316991715739
g63849,-0.562355298948598
g25489,-0.602529036140218
g35178,-0.638486760454556
adi2mcaRNA3566_R1,-0.606395067565155
g9989,-0.574665745980279
g32305,-0.687014730539995
g55446,-0.576825349606473
g47455,-0.615367865827364
g64599,-0.622750736955371
g58961,-0.597773683952869
g41730,-0.584357503546252
g50751,-0.548283563693863
adi2mcaRNA41172_R0,-0.587180913018546
g15705,-0.660515027716432
g18920,-0.623704188105735
g70994,-0.59455124003824
adi2mcaRNA35770_R1,-0.569339588989036
g49543,-0.542639942647554
g38615,-0.660111033329996
g21653,-0.63790556760887
g59960,-0.56419888628583
g37216,-0.60195404886324
g53888,-0.566227371342343
g58096,-0.615065000285561
g4179,-0.685738650216541
g31857,-0.560619095888002
g29187,-0.578173864046918
g68918,-0.549808614444562
g64064,-0.581006791056274
g49978,-0.578607340174457
g40747,-0.606368430721715
g49258,-0.621812233236011
g58624,-0.681048437895498
adi2mcaRNA6492_R0,-0.641717846246805
g61998,-0.568123946515464
g66532,-0.56058443128612
g6229,-0.57557983701294
g52828,-0.666628642421374
g39448,-0.577520191193372
g54265,-0.652899532877277
g58440,-0.560410566444638
g49538,-0.593986235086985
g48582,-0.593530511896878
g36440,-0.571179522624998
g71386,-0.602414950296281
g69042,-0.590357330527739
g40455,-0.584670511394025
g45704,-0.584306147538411
g50677,-0.589634983146987
g32230,-0.603263819041256
g34002,-0.640722021449056
adi2mcaRNA26831_R1,-0.532431767009243
g48818,-0.690443795097256
g66109,-0.607804504867008
g4862,-0.680560448093685
g42409,-0.54678867369872
g35144,-0.577951574897716
g4767,-0.655113101721849
g45330,-0.552376415512989
adi2mcaRNA3566_R0,-0.656686601562239
g20165,-0.547822790670431
adi2mcaRNA4299_R0,-0.60562106601049
g27154,-0.680260930159222
g30189,-0.60110199911049
g30461,-0.558302068415215
g60308,-0.659977353959495
adi2mcaRNA29396_R0,-0.581933950613845
adi2mcaRNA2699_R0,-0.614598033710404
g58529,-0.611300602690956
g66185,-0.560279342971098
adi2mcaRNA354_R0,-0.631869521723398
g66110,-0.736560279194733
g33588,-0.577929151165278
g49151,-0.569289120652528
g16600,-0.616563901693247
adi2mcaRNA4135_R0,-0.57288369062919
g37095,-0.579175965045777
g49921,-0.581510673660705
g10290,-0.636548736131624
g16051,-0.622875804262869
g5055,-0.605321687455168
g10474,-0.606489634021377
g47443,-0.685671087863853
g59876,-0.671704102183899
g54361,-0.663414195435331
adi2mcaRNA6487_R0,-0.561234430211588
g6542,-0.590309824919364
adi2mcaRNA26115_R2,-0.569169262683863
g2955,-0.623190964921564
adi2mcaRNA29018_R0,-0.616183952522338
g25543,-0.546376042101092
g42822,-0.685009405542926
g48871,-0.572784978422635
g55020,-0.553551645336244
adi2mcaRNA11434_R0,-0.593306730285014
g67119,-0.641833949406347
g71045,-0.56306190464764
g41481,-0.605810086767115
g70218,-0.595266755557864
g5724,-0.560233002435917
g33291,-0.618166638370338
g41674,-0.556977926254512
g55326,-0.564910484464814
g38092,-0.608758720861515
g55628,-0.616151168693263
adi2mcaRNA35487_R0,-0.575747248544416
g43945,-0.748235123108928
g23825,-0.588620936830652
g64207,-0.538750654357216
g67746,-0.557940920799414
adi2mcaRNA5725_R0,-0.558309221382018
g67870,-0.616692487330303
g14711,-0.562740716186264
g67448,-0.543827992108507
g38017,-0.64003782106972
adi2mcaRNA2679_R0,-0.758729296340431
